"filename", "language", "JSON", "Markdown", "JSON with Comments", "TypeScript", "comment", "blank", "total"
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\README.md", "Markdown", 0, 2, 0, 0, 0, 1, 3
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\package-lock.json", "JSON", 3356, 0, 0, 0, 0, 1, 3357
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\package.json", "JSON", 40, 0, 0, 0, 0, 1, 41
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\Infrastructure\DB\models\Revoke\IRevoke.ts", "TypeScript", 0, 0, 0, 6, 0, 1, 7
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\Infrastructure\DB\models\Revoke\revokeTokens.ts", "TypeScript", 0, 0, 0, 12, 0, 3, 15
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\Infrastructure\DB\models\User\IUser.ts", "TypeScript", 0, 0, 0, 19, 0, 1, 20
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\Infrastructure\DB\models\User\user.model.ts", "TypeScript", 0, 0, 0, 22, 8, 5, 35
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\Infrastructure\DB\mongodb\connectionDB.ts", "TypeScript", 0, 0, 0, 12, 0, 3, 15
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\Infrastructure\DB\mongodb\repositories\User\DbUserRepository.ts", "TypeScript", 0, 0, 0, 19, 4, 2, 25
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\Infrastructure\DB\mongodb\repositories\User\IFindByEmail.ts", "TypeScript", 0, 0, 0, 7, 0, 3, 10
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\Infrastructure\DB\mongodb\repositories\User\IFindById.ts", "TypeScript", 0, 0, 0, 8, 0, 3, 11
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\Infrastructure\DB\mongodb\repositories\User\IUpdateOne.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 3
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\Infrastructure\DB\mongodb\repositories\User\Icreate.ts", "TypeScript", 0, 0, 0, 20, 0, 5, 25
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\Infrastructure\DB\mongodb\repositories\User\index.ts", "TypeScript", 0, 0, 0, 5, 0, 1, 6
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\Infrastructure\DB\mongodb\repositories\revokeToken\DbRevokeTokens.ts", "TypeScript", 0, 0, 0, 13, 2, 4, 19
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\Infrastructure\DB\mongodb\repositories\revokeToken\ICreateRevokeToken.ts", "TypeScript", 0, 0, 0, 13, 0, 4, 17
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\Infrastructure\DB\mongodb\repositories\revokeToken\IFindRevokebyId.ts", "TypeScript", 0, 0, 0, 7, 0, 3, 10
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\Infrastructure\DB\mongodb\repositories\revokeToken\index.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 3
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\Infrastructure\email\IEmailService.ts", "TypeScript", 0, 0, 0, 4, 0, 1, 5
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\Infrastructure\email\email.template.ts", "TypeScript", 0, 0, 0, 105, 0, 0, 105
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\Infrastructure\email\emailEvents.ts", "TypeScript", 0, 0, 0, 14, 0, 3, 17
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\Infrastructure\email\nodeMailerService.ts", "TypeScript", 0, 0, 0, 27, 0, 5, 32
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\app.controller.ts", "TypeScript", 0, 0, 0, 46, 1, 11, 58
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\index.ts", "TypeScript", 0, 0, 0, 2, 0, 1, 3
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\modules\users\controller\auth\confirmEmail.ts", "TypeScript", 0, 0, 0, 13, 0, 3, 16
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\modules\users\controller\auth\logIn.ts", "TypeScript", 0, 0, 0, 15, 0, 2, 17
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\modules\users\controller\auth\logOut.ts", "TypeScript", 0, 0, 0, 15, 0, 3, 18
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\modules\users\controller\auth\refreshToken.ts", "TypeScript", 0, 0, 0, 15, 0, 3, 18
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\modules\users\controller\auth\signUp.ts", "TypeScript", 0, 0, 0, 16, 1, 2, 19
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\modules\users\dtos\request\ConfirmEmailDtoReq.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 4
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\modules\users\dtos\request\ILogInDtoReq.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 4
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\modules\users\dtos\request\ILogOutDtoReq.ts", "TypeScript", 0, 0, 0, 6, 0, 1, 7
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\modules\users\dtos\request\IRefreshTokenDtoReq.ts", "TypeScript", 0, 0, 0, 6, 0, 1, 7
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\modules\users\dtos\request\SignUpDtoReq.ts", "TypeScript", 0, 0, 0, 12, 0, 1, 13
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\modules\users\dtos\request\index.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 4
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\modules\users\dtos\response\ILogInDtoRes.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 4
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\modules\users\dtos\response\IRefreshTokenDtoRes.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 4
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\modules\users\dtos\response\SignUpDtoRes.ts", "TypeScript", 0, 0, 0, 13, 0, 1, 14
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\modules\users\dtos\response\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 2
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\modules\users\factory\confirmEmailFactory.ts", "TypeScript", 0, 0, 0, 11, 0, 3, 14
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\modules\users\factory\index.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 5
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\modules\users\factory\logInFactory.ts", "TypeScript", 0, 0, 0, 12, 0, 4, 16
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\modules\users\factory\logOutFactory.ts", "TypeScript", 0, 0, 0, 9, 0, 6, 15
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\modules\users\factory\refreshTokenFactory.ts", "TypeScript", 0, 0, 0, 11, 0, 2, 13
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\modules\users\factory\signUpFactory.ts", "TypeScript", 0, 0, 0, 15, 1, 2, 18
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\modules\users\interfaces\IConfirmEmailRepo.ts", "TypeScript", 0, 0, 0, 2, 0, 1, 3
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\modules\users\interfaces\IConfirmEmailService.ts", "TypeScript", 0, 0, 0, 4, 0, 2, 6
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\modules\users\interfaces\ILogInService.ts", "TypeScript", 0, 0, 0, 5, 0, 1, 6
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\modules\users\interfaces\ILogOutService.ts", "TypeScript", 0, 0, 0, 4, 0, 1, 5
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\modules\users\interfaces\IRefreshTokenService.ts", "TypeScript", 0, 0, 0, 5, 0, 1, 6
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\modules\users\interfaces\ISignUpRepo.ts", "TypeScript", 0, 0, 0, 2, 0, 3, 5
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\modules\users\interfaces\ISignUpService.ts", "TypeScript", 0, 0, 0, 5, 0, 1, 6
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\modules\users\interfaces\index.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\modules\users\routes\auth.routes.ts", "TypeScript", 0, 0, 0, 17, 5, 3, 25
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\modules\users\services\auth\changePassword.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\modules\users\services\auth\confirmEmail.ts", "TypeScript", 0, 0, 0, 23, 2, 5, 30
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\modules\users\services\auth\deleteAccount.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\modules\users\services\auth\forgetPassword.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\modules\users\services\auth\logIn.ts", "TypeScript", 0, 0, 0, 38, 4, 3, 45
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\modules\users\services\auth\logOut.ts", "TypeScript", 0, 0, 0, 15, 0, 3, 18
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\modules\users\services\auth\refreshToken.ts", "TypeScript", 0, 0, 0, 31, 2, 4, 37
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\modules\users\services\auth\signUp.ts", "TypeScript", 0, 0, 0, 39, 7, 3, 49
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\modules\users\services\auth\twoFactorAuthentication.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\modules\users\validation\auth.validation.ts", "TypeScript", 0, 0, 0, 44, 6, 3, 53
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\shared\enums\TokenType.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 4
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\shared\enums\genderType.ts", "TypeScript", 0, 0, 0, 4, 1, 2, 7
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\shared\enums\index.ts", "TypeScript", 0, 0, 0, 2, 0, 1, 3
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\shared\enums\roleType.ts", "TypeScript", 0, 0, 0, 4, 1, 0, 5
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\shared\middleware\Validation.ts", "TypeScript", 0, 0, 0, 29, 0, 2, 31
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\shared\middleware\authentication.ts", "TypeScript", 0, 0, 0, 46, 0, 15, 61
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\shared\middleware\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 2
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\shared\types\express\index.d.ts", "TypeScript", 0, 0, 0, 13, 0, 2, 15
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\shared\utils\cryptography\IComparer.ts", "TypeScript", 0, 0, 0, 3, 0, 2, 5
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\shared\utils\cryptography\IDecrypter.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 3
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\shared\utils\cryptography\IEncrypter.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 3
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\shared\utils\cryptography\IHasher.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 3
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\shared\utils\cryptography\bcrypt-adapter.ts", "TypeScript", 0, 0, 0, 14, 0, 5, 19
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\shared\utils\cryptography\index.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 6
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\shared\utils\cryptography\jwt-adapter.ts", "TypeScript", 0, 0, 0, 11, 0, 1, 12
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\src\shared\utils\errors\AppError.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 5
"c:\Users\PC\OneDrive\Desktop\socialMedia - Copy\tsconfig.json", "JSON with Comments", 0, 0, 19, 0, 21, 6, 46
"Total", "-", 3396, 2, 19, 949, 66, 171, 4603